Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Spring 2017,A HI,4960,43,21377,Directed Readings,Mary J Watson,112131264,Active,Norman - Main Campus,L,10,0,10,0,0,1/17/17,5/12/17,FJC,202,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,44,24286,Directed Readings,Alison Fields,113843772,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,45,27730,Directed Readings,Rozmeri Basic,112113083,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,413,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,46,21381,Directed Readings,B. Byron Price,112128334,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,102,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,47,28686,Directed Readings,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,408,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4960,49,23696,Directed Readings,William J Rushing,112775244,Active,Norman - Main Campus,L,3,0,3,0,0,1/17/17,5/12/17,FJC,223,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,,FA NUD SLST SPCL UDIV UFA
Spring 2017,A HI,4970,105,31304,Byzantine Art/Architecture II,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH005,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4970,159,31305,Intro to Modern Art History,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,FA NUD UDIV UFA VART
Spring 2017,A HI,4970,189,31308,History of Spanish Art,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH089,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4970,195,31309,Modern Spanish Art (Pt I),Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH095,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4970,259,31310,Hist of Decorative Art (Pt I),Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4970,295,31311,Modern Spanish Art (Pt II),Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH095,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4970,359,31312,Hist of Decorative Art (Pt II),Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4970,459,31313,History & Artistic Problems 2,Whitney Alliece Franca,113316966,Active,Norman - Main Campus,S,3,0,3,0,0,1/17/17,5/12/17,XCH059,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,SAB,1,UDIV,,IS NUD REEX UDIV UIS VART
Spring 2017,A HI,4993,40,21382,Senior Capstone Experience,Robert Bailey,113025345,Active,Norman - Main Campus,L,10,1,9,0,0,1/17/17,5/12/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD SPCL UDIV UFA
Spring 2017,A HI,4993,41,32267,Senior Capstone Experience,Allison L Palmer,112112303,Active,Norman - Main Campus,L,10,2,8,0,0,1/17/17,5/12/17,FJC,219,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD UDIV UFA
Spring 2017,A HI,4993,42,21384,Senior Capstone Experience,Victor K Youritzin,112111603,Active,Norman - Main Campus,L,10,0,10,0,0,1/17/17,5/12/17,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD SPCL UDIV UFA
Spring 2017,A HI,4993,43,21385,Senior Capstone Experience,Mary J Watson,112131264,Active,Norman - Main Campus,L,10,0,10,0,0,1/17/17,5/12/17,FJC,202,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD SPCL UDIV UFA
