Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Fall 2017,A HI,6973,2,37513,Dissertation Proposal, ,,Active,Norman - Main Campus,L,1,0,1,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,A HI,6980,41,29951,Research Doctoral Dissertation, ,,Active,Norman - Main Campus,X,5,0,5,0,0,8/21/17,12/15/17,FJC,219,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR
Fall 2017,A HI,6980,46,33432,Research Doctoral Dissertation,B. Byron Price,112128334,Active,Norman - Main Campus,X,5,0,5,0,0,8/21/17,12/15/17,,,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,A HI,6980,47,33703,Research Doctoral Dissertation,Kenneth Haltman,112707192,Active,Norman - Main Campus,X,5,0,5,0,0,8/21/17,12/15/17,FJC,408,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,A HI,6980,49,36000,Research Doctoral Dissertation,William J Rushing,112775244,Active,Norman - Main Campus,X,5,0,5,0,0,8/21/17,12/15/17,FJC,223,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,TDS,1,GRAD,,FA GFA GRAD NGR SPCL
Fall 2017,ACCT,2113,1,11131,Fundmntl Financial Accounting,Cynthia C Cuccia,112674950,Active,Norman - Main Campus,L,270,0,270,0,0,8/21/17,12/8/17,AH,150,M/W,1330,1445,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2113,2,11132,Fundmntl Financial Accounting,Cynthia C Cuccia,112674950,Active,Norman - Main Campus,L,270,0,270,0,0,8/21/17,12/8/17,AH,150,M/W,1500,1615,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2113,3,11138,Fundmntl Fin. Acct    (HONORS),Wayne B Thomas,112115571,Active,Norman - Main Campus,L,19,0,19,0,0,8/21/17,12/8/17,MFPH,3020,M/W,1200,1315,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU HON HPRM LDIV NLD UBU
Fall 2017,ACCT,2113,4,37914,Fundmntl Financial Accounting, ,,Active,Norman - Main Campus,L,45,0,45,0,0,8/21/17,12/8/17,MFPH,3010,M/W/F,830,920,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2113,5,37915,Fundmntl Financial Accounting, ,,Active,Norman - Main Campus,L,45,0,45,0,0,8/21/17,12/8/17,MFPH,3010,M/W/F,930,1020,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
